fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Catla,98.3,7297,56.4,74.23,26.7,8.14,6.71,0.72,0.04,135.5,28.8,10.083,178,101.5,623.45,84.18,1.8
Pabda,94.7,5934,24.2,62.66,28.3,8.04,3.71,0.42,0.47,124.8,25.4,3.432,160,42.05,206.6,82.79,1.56
Rohu,54.8,2462,8.1,44.93,28.3,8.25,7.19,1.19,0.46,110.4,30.4,0.349,136,11.81,21.03,72.34,1.73
Magur,80.8,7905,39.0,97.83,28.5,7.48,5.5,1.04,0.99,169.6,25.9,7.862,168,63.04,333.05,66.83,1.63
Pabda,80.6,4324,56.8,53.65,31.3,7.09,4.64,0.86,0.17,164.4,34.3,6.705,104,80.87,295.61,84.54,1.64
Koi,13.3,3068,16.8,230.68,28.9,7.08,6.79,0.18,0.48,166.9,28.9,1.417,92,25.07,64.58,83.96,1.41
Catla,47.9,1717,10.1,35.85,28.6,8.02,7.09,0.68,0.47,116.4,28.1,0.456,168,17.46,24.66,82.25,1.82
Magur,57.0,6482,55.3,113.72,28.4,7.62,7.25,1.19,0.21,109.2,25.9,8.46,237,110.68,527.86,73.58,1.7
Silver Carp,100.0,5176,16.9,51.76,30.4,8.36,3.83,0.11,0.72,93.3,29.5,2.152,236,30.34,111.9,71.26,1.95
Shing,33.2,4132,25.5,124.46,25.2,7.12,7.17,0.93,0.83,128.2,25.8,2.961,194,46.04,145.17,76.31,1.61
Tilapia,81.2,9452,21.0,116.4,25.7,7.57,7.18,0.43,0.53,142.3,31.3,5.856,212,51.91,419.19,85.43,1.36
Koi,24.9,2609,49.7,104.78,31.5,7.24,6.93,1.0,0.95,154.3,32.9,2.671,174,87.47,176.43,77.31,1.78
Koi,80.7,7731,26.9,95.8,25.4,7.43,7.19,0.65,0.54,100.7,33.6,5.116,207,55.65,328.29,76.31,1.64
Catla,7.0,8508,16.1,1215.43,27.3,8.43,7.36,0.76,0.58,78.2,29.6,3.644,223,26.45,144.38,64.16,1.86
Rohu,93.9,6893,45.3,73.41,31.2,7.21,4.37,0.3,0.34,126.9,28.9,8.868,229,93.59,600.02,93.01,1.69
Thai Koi,76.1,4540,28.4,59.66,31.3,8.23,3.82,0.97,0.03,119.5,26.5,2.347,205,52.85,172.8,72.01,1.64
Common Carp,90.8,3638,46.3,40.07,27.7,6.89,4.62,1.06,0.15,96.6,25.9,3.84,142,76.11,202.83,73.25,1.9
Common Carp,97.3,3094,76.8,31.8,32.0,7.85,5.12,0.3,0.94,96.9,32.9,4.942,222,157.56,402.56,82.58,1.55
Rohu,12.2,3143,51.6,257.62,29.9,7.55,5.42,0.9,0.93,82.6,30.4,3.519,173,79.72,177.54,70.86,1.71
Catla,80.4,6697,46.8,83.3,31.2,7.88,7.11,0.55,0.16,99.9,32.4,6.895,155,76.15,420.42,82.44,1.79
Gulsha,49.5,6641,32.2,134.16,30.0,7.38,7.05,0.61,0.18,137.7,32.6,4.512,202,62.06,345.73,83.89,1.72
Common Carp,16.9,6006,54.5,355.38,30.4,7.58,6.67,1.02,0.86,96.1,28.1,7.201,212,93.92,340.61,60.38,1.65
Silver Carp,36.5,7380,41.5,202.19,27.4,7.72,4.51,0.28,0.4,163.1,25.2,8.821,143,65.73,410.06,84.54,1.79
Thai Koi,76.9,5558,33.1,72.28,31.0,7.46,4.81,0.7,0.39,176.2,32.8,3.256,198,69.23,322.28,83.76,1.63
Rohu,39.1,5049,34.1,129.13,24.8,7.55,4.78,0.63,0.23,83.7,34.1,5.096,135,54.05,230.2,84.36,1.63
Common Carp,62.5,2212,42.0,35.39,24.2,8.21,6.94,0.92,0.3,156.8,29.8,2.35,230,86.88,152.09,79.14,1.61
Magur,81.2,7342,70.5,90.42,29.1,7.59,6.53,0.28,0.98,154.6,27.5,11.025,101,104.08,634.0,82.97,1.46
Shing,80.6,3024,41.4,37.52,28.7,7.55,5.07,0.56,0.49,108.2,28.2,3.756,98,59.83,148.89,82.29,1.5
Pangasius,92.5,915,66.9,9.89,29.9,8.25,5.72,0.37,0.91,85.5,31.1,1.573,223,160.95,118.67,80.58,1.52
Catla,5.3,5156,12.6,972.83,24.0,7.52,4.67,0.82,0.04,112.2,27.4,1.429,203,22.72,86.39,73.76,1.72
Common Carp,67.2,4964,56.3,73.87,28.5,8.18,6.86,0.25,0.55,113.3,27.1,6.819,164,96.6,395.08,82.39,1.66
Catla,81.3,9915,6.7,121.96,25.4,7.27,6.04,0.38,0.48,120.6,26.7,1.986,99,9.76,87.18,90.09,1.81
Koi,76.1,3549,46.7,46.64,26.5,8.15,4.3,0.33,0.19,134.3,25.1,3.597,134,80.62,259.15,90.57,1.5
Thai Koi,71.0,4747,56.8,66.86,29.1,7.43,6.16,0.15,0.61,90.6,33.7,5.5,160,107.37,421.35,82.67,1.57
Tilapia,28.0,1388,19.2,49.57,28.3,7.13,6.61,0.05,0.06,115.3,34.1,0.45,207,47.68,62.27,94.09,1.44
Mrigal,28.0,9603,18.3,342.96,24.8,7.06,4.6,0.2,0.96,124.8,32.1,3.005,96,24.16,174.09,75.03,1.92
Magur,81.4,5110,25.4,62.78,25.2,8.32,7.23,1.17,0.4,144.9,25.3,3.232,131,40.97,148.44,70.91,1.64
Tilapia,62.8,1783,56.3,28.39,27.7,7.35,6.91,0.82,0.58,87.0,25.1,1.737,127,95.48,132.42,77.78,1.58
Shing,62.1,440,30.7,7.09,30.5,7.64,5.19,0.44,0.94,140.6,32.4,0.272,100,45.35,16.5,82.66,1.58
Catla,63.2,4618,9.8,73.07,25.0,7.44,4.82,0.23,0.56,73.6,33.6,0.742,145,15.86,61.91,84.56,1.78
Magur,68.1,2642,41.0,38.8,29.4,7.66,4.4,0.59,1.0,121.1,34.6,3.076,187,76.04,150.89,75.11,1.62
Pabda,70.2,2871,72.5,40.9,26.1,7.15,7.34,0.27,0.28,91.4,28.4,5.474,188,144.87,373.41,89.78,1.65
Shing,21.2,9823,44.5,463.35,29.4,7.13,6.62,0.99,0.57,150.5,33.9,8.087,114,67.41,470.94,71.12,1.79
Gulsha,99.8,9951,11.4,99.71,29.1,7.13,4.43,1.02,0.17,106.4,26.9,2.292,214,20.87,155.49,74.88,1.64
Rohu,15.5,6206,37.8,400.39,29.8,7.88,7.03,0.45,0.36,146.6,33.9,6.287,139,58.76,305.28,83.72,1.64
Koi,76.2,3401,79.5,44.63,27.3,6.82,6.22,1.1,0.69,132.5,30.9,6.787,209,144.42,326.77,66.53,1.7
Pabda,92.3,5707,70.9,61.83,25.2,6.78,5.7,0.87,0.59,126.3,28.6,11.127,143,114.5,451.99,69.17,1.88
Catla,61.4,3639,32.8,59.27,25.5,8.15,5.4,0.53,0.84,96.1,33.5,3.115,115,47.42,130.48,75.62,1.87
Magur,45.5,5947,66.4,130.7,24.0,7.84,6.12,0.65,0.51,131.0,33.1,9.833,106,101.28,471.85,78.34,1.55
Pabda,12.4,3561,79.3,287.18,25.4,7.3,3.54,0.22,0.61,80.3,32.6,7.455,152,123.98,308.73,69.93,1.7
Silver Carp,34.5,7670,56.0,222.32,30.9,7.32,4.35,1.14,0.82,92.8,34.6,7.044,98,72.6,340.4,61.13,1.83
Mrigal,67.5,4093,40.0,60.64,27.4,7.15,4.68,0.46,0.42,95.3,31.3,3.962,146,68.04,251.57,90.34,1.56
Mrigal,45.3,5790,20.1,127.81,28.8,7.53,6.59,0.62,0.68,168.1,29.2,3.363,193,35.74,155.25,75.03,1.91
Magur,61.4,4377,77.8,71.29,25.0,8.16,3.72,0.3,0.8,82.4,29.5,6.198,119,117.05,394.38,76.98,1.75
Pabda,77.8,5725,8.2,73.59,24.6,7.74,4.7,0.47,0.93,80.7,34.0,0.765,211,15.56,74.28,83.38,1.74
Tilapia,21.6,344,27.2,15.93,31.3,7.68,5.36,0.32,0.62,157.6,32.1,0.24,155,54.73,16.28,86.47,1.37
Common Carp,26.8,9626,33.7,359.18,30.0,7.56,7.17,1.15,0.84,139.5,34.8,5.904,155,50.89,301.15,61.48,1.62
Tilapia,49.5,6180,12.3,124.85,26.6,8.22,4.37,0.76,0.36,78.6,26.1,1.764,203,27.47,141.53,83.38,1.47
Thai Koi,85.6,3959,49.0,46.25,30.2,6.61,5.18,0.59,0.82,129.3,25.1,4.869,212,97.26,280.08,72.74,1.61
Magur,5.1,6110,69.2,1198.04,25.7,6.92,5.64,1.1,0.23,176.2,25.6,8.583,157,110.49,459.55,68.07,1.58
Silver Carp,21.4,1360,20.9,63.55,30.5,7.71,5.13,0.53,0.74,155.5,32.2,0.821,115,30.58,31.06,74.7,1.97
Pangasius,98.3,3755,51.7,38.2,24.2,8.47,3.85,1.17,0.79,94.1,26.4,4.174,159,84.11,189.49,60,1.71
Koi,73.1,5761,60.2,78.81,24.8,7.09,6.8,0.22,0.73,137.3,33.6,8.67,100,92.32,456.56,85.84,1.46
Koi,31.7,9762,24.5,307.95,25.3,8.33,4.46,0.61,0.26,118.7,32.2,4.831,101,34.65,240.0,70.96,1.51
Pangasius,21.3,6523,68.7,306.24,30.4,8.48,5.58,0.96,0.32,109.3,25.7,10.531,136,118.26,579.49,75.12,1.56
Catla,96.0,7643,56.6,79.61,27.9,7.79,5.98,0.92,0.73,145.4,25.1,8.479,192,101.69,578.93,74.49,1.79
Magur,60.8,363,79.0,5.97,26.8,7.53,7.43,1.08,0.75,142.4,28.9,0.685,104,112.83,27.13,66.24,1.79
Gulsha,53.5,6325,43.7,118.22,25.0,8.19,5.79,0.73,0.42,117.3,28.1,7.214,147,74.13,383.95,81.89,1.71
Shing,79.0,6233,15.4,78.9,31.3,8.46,7.33,0.41,0.78,73.4,31.2,2.515,209,31.03,150.44,77.79,1.45
Catla,32.8,7932,31.0,241.83,31.8,7.49,3.6,0.1,0.6,121.6,31.5,6.147,219,55.96,311.16,70.1,1.71
Pangasius,71.9,9683,50.1,134.67,29.1,8.09,3.77,0.23,0.64,159.6,32.7,10.09,175,103.76,777.45,77.38,1.57
Mrigal,95.2,4764,43.1,50.04,29.8,7.68,3.73,0.7,0.81,107.3,29.8,3.983,195,75.27,251.01,70.0,1.73
Common Carp,27.2,9581,13.6,352.24,27.8,7.28,6.94,0.77,0.18,106.8,30.0,3.57,156,22.92,168.25,76.63,1.88
Pangasius,12.8,5583,20.7,436.17,28.0,6.98,3.59,0.58,0.25,93.7,33.8,2.277,114,33.11,133.26,72.08,1.6
Shing,61.2,586,73.9,9.58,26.4,8.21,4.25,0.09,0.91,89.6,27.1,0.974,239,164.05,76.09,79.15,1.58
Common Carp,80.9,4648,48.8,57.45,28.3,8.15,5.7,0.22,0.73,174.6,30.2,3.538,136,77.66,303.01,83.94,1.57
Common Carp,63.6,8106,43.6,127.45,29.0,8.37,4.37,0.61,0.28,136.2,27.0,8.129,163,73.77,483.64,80.88,1.54
Pabda,88.0,2127,31.1,24.17,26.5,7.32,7.42,1.11,0.05,74.3,32.1,1.204,107,42.69,67.82,74.7,1.64
Thai Koi,58.1,8255,58.9,142.08,30.5,6.88,4.0,1.16,0.42,150.5,31.7,9.238,239,122.83,769.48,75.89,1.56
Tilapia,85.4,3516,11.8,41.17,30.7,7.73,6.1,0.48,0.3,163.7,35.0,1.083,185,26.2,86.25,93.63,1.48
Silver Carp,15.2,7503,79.8,493.62,26.7,6.76,5.91,0.51,0.31,132.0,26.8,16.884,196,133.02,706.13,70.75,1.97
Magur,69.5,4331,64.3,62.32,31.8,7.68,4.76,0.74,0.32,115.3,31.1,4.289,221,141.33,518.14,84.65,1.53
Magur,14.0,2267,68.0,161.93,30.0,7.9,6.03,0.41,0.76,177.6,31.9,2.759,105,96.17,163.99,75.22,1.77
Pabda,94.2,5990,38.4,63.59,29.6,8.16,7.2,1.15,0.6,77.1,31.0,5.198,237,68.69,280.26,68.12,1.63
Pabda,82.7,8738,20.5,105.66,31.9,7.21,7.18,0.9,0.76,129.1,26.4,4.729,172,36.55,244.51,76.57,1.6
Gulsha,89.5,8967,74.2,100.19,27.6,6.9,6.28,0.47,0.86,167.1,29.6,19.495,120,120.11,870.99,80.87,1.66
Magur,32.2,6116,47.5,189.94,30.6,8.28,4.83,0.37,0.97,179.0,34.2,6.914,207,86.26,369.04,69.95,1.59
Shing,37.2,765,59.5,20.56,31.8,6.91,7.18,1.1,0.63,102.8,29.0,0.929,102,82.65,41.73,65.99,1.76
Silver Carp,30.5,4292,74.3,140.72,27.6,7.14,4.78,0.18,0.77,154.2,25.5,8.068,142,114.51,406.41,82.69,1.85
Gulsha,20.0,6938,78.9,346.9,31.9,7.68,5.36,1.0,0.05,84.3,27.7,15.382,161,135.69,700.61,74.42,1.65
Koi,95.1,2026,53.5,21.3,30.1,7.95,5.41,0.67,0.33,96.1,34.7,1.962,142,96.25,167.23,85.76,1.36
Mrigal,89.4,3632,45.3,40.63,31.4,7.91,7.47,0.51,0.27,85.3,33.5,4.13,117,66.3,204.14,84.78,1.75
Rohu,22.7,1170,23.3,51.54,25.7,7.92,4.38,0.97,0.6,82.3,27.1,0.499,175,37.75,33.85,76.64,1.83
Pabda,24.9,1920,79.8,77.11,24.6,7.87,3.93,1.16,0.88,133.5,32.4,3.202,236,143.65,165.49,60,1.7
Magur,69.1,6592,58.0,95.4,28.8,6.52,4.29,0.59,0.66,144.7,27.1,7.8,134,90.89,435.65,72.71,1.79
Shing,32.2,2889,47.6,89.72,28.2,8.28,7.45,0.97,0.98,129.6,34.1,2.173,98,70.8,143.88,70.34,1.85
Thai Koi,7.0,5256,58.1,750.86,27.9,7.43,4.25,0.85,0.96,114.8,33.6,8.245,99,87.78,327.11,70.9,1.54
Rohu,56.2,9831,23.6,174.93,25.2,6.74,6.25,0.78,0.38,165.7,25.3,6.241,96,30.5,223.35,74.49,1.85
Catla,70.3,3695,66.8,52.56,30.0,8.25,6.99,0.81,0.12,174.6,28.0,4.69,100,97.64,277.98,77.05,1.63
Magur,91.6,2626,20.2,28.67,24.5,7.29,6.69,1.06,0.85,70.8,34.4,1.252,117,30.62,52.91,65.79,1.79
Mrigal,28.8,2677,57.1,92.95,26.6,7.87,4.6,0.92,0.49,115.2,27.1,3.974,101,84.19,186.2,82.62,1.55
Pabda,9.8,4943,21.6,504.39,24.8,6.89,4.86,0.91,0.73,157.1,31.7,3.043,235,42.28,144.12,68.96,1.72
Gulsha,86.9,4602,61.3,52.96,24.1,7.09,7.15,1.08,0.49,82.1,25.7,4.824,119,94.22,325.28,75.02,1.65
Koi,30.0,1968,15.1,65.6,26.1,8.27,4.48,1.07,0.77,114.9,34.3,0.672,92,20.48,25.21,62.53,1.62
Magur,96.9,1708,59.1,17.63,26.5,7.48,4.46,0.94,0.28,107.6,27.4,2.826,131,99.73,140.33,82.38,1.47
Rohu,20.6,7410,14.4,359.71,30.4,6.74,3.67,0.64,0.68,103.9,26.3,2.006,120,19.41,86.29,60,1.74
Shing,19.8,7234,69.0,365.35,31.0,7.67,5.05,0.46,0.48,133.3,25.5,9.634,93,98.76,608.74,85.21,1.49
Shing,32.3,2206,14.6,68.3,30.5,7.43,4.2,0.37,0.14,164.6,31.0,0.702,121,23.78,47.53,90.6,1.43
Thai Koi,69.5,9333,46.4,134.29,28.7,8.33,5.66,0.74,0.07,93.2,34.9,12.558,229,101.43,776.52,82.03,1.6
Mrigal,36.2,319,50.8,8.81,25.9,6.63,5.76,0.47,0.81,117.8,29.6,0.47,170,85.07,21.12,77.82,1.71
Magur,67.8,7099,11.2,104.71,24.3,6.77,5.35,0.67,0.78,130.6,33.1,2.242,186,20.64,106.46,72.67,1.71
Silver Carp,63.4,880,78.2,13.88,28.8,7.16,4.48,0.51,0.13,108.9,33.8,1.163,228,152.61,109.15,81.27,1.68
Tilapia,63.7,4375,40.5,68.68,27.7,7.55,4.61,0.37,0.85,96.0,32.8,3.367,205,95.93,364.5,86.85,1.24
Pangasius,62.9,8428,32.0,133.99,28.7,8.3,4.42,0.16,0.93,160.1,26.0,4.504,225,75.09,517.79,81.82,1.54
Pangasius,49.6,1767,9.6,35.62,26.2,7.05,4.07,0.96,0.16,156.8,25.3,0.485,175,19.88,30.76,87.55,1.35
Mrigal,6.8,4342,36.3,638.53,30.5,7.03,5.09,0.68,0.53,168.0,28.8,4.397,183,59.32,179.53,69.7,1.8
Pangasius,43.8,8930,13.7,203.88,29.9,7.42,3.75,1.17,0.06,154.7,25.6,2.337,229,26.43,148.06,62.73,1.54
Tilapia,23.9,6177,25.8,258.45,30.7,8.42,6.43,0.8,0.35,176.5,29.6,4.064,221,56.96,264.39,75.15,1.44
Thai Koi,57.7,3316,12.0,57.47,24.3,7.51,3.78,0.72,0.79,161.5,32.2,1.007,228,25.14,57.88,69.42,1.61
Silver Carp,88.1,969,37.6,11.0,25.3,7.94,6.31,0.44,0.62,151.2,29.9,0.663,187,67.32,53.33,81.76,1.83
Pangasius,75.7,5798,78.5,76.59,24.3,7.79,5.13,1.07,0.37,132.0,30.6,8.466,98,122.97,535.0,75.04,1.66
Mrigal,36.9,9194,29.3,249.16,27.2,6.78,7.24,1.17,0.87,78.1,33.5,5.064,143,42.74,235.75,60,1.72
Rohu,37.5,1831,8.0,48.83,27.5,7.04,6.14,1.08,0.47,107.0,34.5,0.341,197,13.8,19.34,76.56,1.81
Gulsha,32.2,2826,17.6,87.76,26.6,6.97,4.23,0.56,0.75,149.0,29.3,1.403,179,30.34,64.72,75.49,1.68
Pangasius,10.0,5268,27.1,526.8,29.7,7.38,5.3,1.06,0.54,75.3,25.3,3.797,112,41.75,136.89,62.24,1.6
Mrigal,35.7,1398,12.6,39.16,24.8,6.62,4.13,0.59,0.93,98.4,29.8,0.454,209,22.31,22.47,72.03,1.83
Tilapia,47.7,9582,46.0,200.88,26.3,7.65,6.14,1.04,0.2,116.0,25.6,7.141,129,76.95,506.99,68.76,1.5
Pabda,77.9,1554,9.2,19.95,24.7,7.37,4.84,0.9,0.53,73.0,27.3,0.402,109,13.85,16.54,76.82,1.9
Rohu,61.9,1821,29.3,29.42,27.0,7.78,5.76,1.17,0.45,81.8,32.5,0.928,231,52.6,71.88,75.04,1.76
Koi,13.5,4107,45.3,304.22,24.4,8.14,4.97,0.84,0.04,163.3,30.1,2.921,194,84.21,261.77,75.69,1.57
Catla,94.6,6964,39.4,73.62,30.3,8.0,5.1,0.22,0.27,136.0,33.8,7.765,169,70.97,444.5,89.94,1.67
Common Carp,75.3,1348,67.1,17.9,26.7,7.09,4.9,1.0,0.74,119.1,33.1,2.578,195,121.44,125.27,76.52,1.64
Magur,83.4,8879,8.7,106.46,27.2,8.2,4.16,0.28,0.76,76.8,28.8,2.117,105,13.86,102.08,82.94,1.55
Koi,76.3,4402,41.1,57.69,28.5,8.07,6.14,0.9,0.75,91.7,31.3,4.957,232,87.73,298.89,77.39,1.76
Catla,21.5,9992,17.4,464.74,26.5,8.0,5.05,1.14,0.73,120.8,32.8,3.981,109,23.76,142.46,60,1.95
Rohu,64.4,8453,6.0,131.26,27.0,7.19,4.95,1.06,0.62,76.1,30.5,1.253,167,9.45,54.91,68.71,1.7
Thai Koi,9.3,1785,70.4,191.94,31.1,7.04,4.21,0.26,0.1,119.2,31.1,2.978,169,128.88,192.67,83.75,1.56
Pangasius,16.3,5774,63.3,354.23,31.0,7.35,5.63,1.08,0.36,108.4,32.3,8.26,220,132.0,536.04,70.33,1.58
Catla,9.2,5010,43.3,544.57,28.7,7.36,4.09,0.52,0.89,122.9,26.5,6.508,235,78.51,272.34,69.24,1.88
Thai Koi,6.6,3454,30.3,523.33,24.6,7.35,6.01,0.98,0.29,88.1,31.8,2.564,121,48.26,128.93,77.34,1.65
Silver Carp,43.1,422,24.8,9.79,28.6,7.75,5.71,0.68,0.87,105.2,28.9,0.243,173,41.32,12.94,74.21,1.75
Thai Koi,84.7,9397,63.0,110.94,29.4,8.1,7.36,0.67,0.49,83.9,30.7,15.57,183,122.5,960.27,83.42,1.52
Catla,21.1,8039,16.7,381.0,31.6,6.57,4.29,0.48,0.98,151.6,30.6,2.255,176,27.37,155.47,70.66,1.81
Tilapia,47.5,5818,46.5,122.48,24.5,7.77,7.41,0.59,0.71,156.7,34.4,7.927,240,112.56,521.69,79.66,1.44
Common Carp,58.3,2578,21.8,44.22,26.2,7.92,4.3,0.27,0.62,74.4,28.7,0.939,105,33.69,73.39,84.51,1.56
Pabda,37.5,1657,42.1,44.19,24.5,8.21,5.27,0.61,0.16,122.9,26.7,1.458,158,68.05,86.44,76.66,1.46
Gulsha,75.7,1093,37.2,14.44,31.0,7.02,6.73,0.07,0.82,115.2,28.8,0.854,136,60.96,54.8,82.25,1.75
Gulsha,16.8,623,60.7,37.08,25.8,8.46,6.8,0.95,0.06,71.3,33.5,0.632,215,122.17,59.02,77.54,1.47
Tilapia,31.3,1529,78.4,48.85,31.8,7.56,5.56,0.16,0.71,98.5,34.5,2.661,228,192.35,250.05,85.02,1.27
Shing,55.2,6290,26.3,113.95,28.8,7.51,5.9,0.37,0.68,84.0,31.0,4.235,139,44.87,233.43,82.7,1.5
Thai Koi,40.8,5344,44.6,130.98,26.9,7.61,4.43,0.77,0.37,174.8,29.4,4.076,170,83.07,373.04,84.03,1.62
Catla,59.5,3354,65.7,56.37,24.6,8.1,5.85,0.98,0.74,146.4,34.2,3.966,121,93.32,239.54,76.53,1.95
Magur,30.7,4815,12.4,156.84,28.4,6.83,6.51,0.42,0.18,108.5,32.3,1.63,102,18.24,72.22,82.25,1.67
Gulsha,83.8,9852,72.6,117.57,30.9,7.35,4.91,0.31,0.84,103.1,27.4,12.445,228,148.0,1221.0,83.74,1.69
Common Carp,85.4,1805,74.8,21.14,26.1,7.87,4.16,0.52,0.39,104.9,33.9,3.902,166,130.47,195.86,83.17,1.7
Common Carp,6.0,9948,73.6,1658.0,29.8,7.81,4.09,0.07,0.43,176.1,28.5,18.304,235,153.77,1284.68,83.98,1.69
Catla,90.1,2997,70.5,33.26,30.6,8.27,4.32,1.14,0.75,155.7,29.0,3.867,193,111.83,207.89,62.03,1.99
Catla,45.1,4626,38.5,102.57,27.4,8.28,5.88,0.54,0.22,91.7,28.5,3.954,153,60.38,224.03,80.21,1.62
Mrigal,75.6,8411,16.7,111.26,29.8,7.68,3.72,1.17,0.75,142.9,29.9,2.964,238,30.07,155.94,61.65,1.81
Shing,6.1,5714,38.7,936.72,29.2,7.38,7.41,0.88,0.08,179.6,26.2,3.494,114,56.19,245.19,76.37,1.85
Shing,53.6,4629,25.6,86.36,30.2,7.53,7.45,1.1,0.29,150.0,30.5,3.294,192,47.1,165.55,75.93,1.61
Gulsha,11.1,1840,23.4,165.77,25.9,8.23,6.98,0.53,0.13,93.3,30.7,0.736,219,43.86,58.61,72.63,1.6
Pangasius,29.6,5066,68.8,171.15,24.3,8.33,3.66,0.52,0.49,132.1,29.6,8.295,184,128.59,430.8,66.13,1.62
Koi,72.4,5247,68.7,72.47,29.0,7.44,7.16,0.1,0.79,169.7,28.5,9.12,166,133.67,598.62,85.35,1.48
Silver Carp,69.6,9499,60.9,136.48,25.0,7.22,5.09,1.07,0.39,92.4,34.3,14.636,184,99.72,695.35,73.41,1.87
Pabda,61.9,4900,77.0,79.16,27.4,6.73,4.05,0.89,0.75,161.0,32.0,7.848,107,105.71,366.06,70.67,1.86
Catla,29.4,5597,12.8,190.37,27.0,7.33,6.02,0.58,0.87,144.7,31.6,1.39,183,21.99,82.97,67.42,1.82
Mrigal,6.7,2460,29.6,367.16,32.0,8.39,4.29,0.57,0.22,180.0,27.6,1.209,193,47.97,87.04,73.76,1.73
Mrigal,64.1,6306,56.3,98.38,24.7,8.05,6.76,0.46,0.93,103.2,27.5,7.349,162,97.41,513.72,83.63,1.51
Shing,92.6,937,49.7,10.12,26.8,6.85,4.81,0.2,0.39,84.1,26.6,1.048,188,98.71,84.34,91.19,1.44
Rohu,38.3,9535,15.1,248.96,25.2,8.03,4.57,0.96,0.43,158.1,25.6,2.736,218,28.08,207.28,77.42,1.86
Silver Carp,74.4,7430,14.8,99.87,27.6,7.0,5.02,0.86,0.19,79.7,26.8,3.046,123,22.61,142.16,84.62,1.57
Tilapia,29.9,5618,69.0,187.89,27.2,7.6,6.38,1.17,0.22,111.3,27.2,10.505,144,118.9,453.97,67.96,1.51
Gulsha,29.2,7402,65.9,253.49,26.5,7.09,5.89,0.06,0.33,127.6,31.5,12.0,191,123.18,752.59,82.54,1.6
Koi,17.2,3111,51.9,180.87,31.8,7.97,6.5,0.25,0.17,116.1,26.9,3.875,159,93.3,250.99,86.47,1.5
Gulsha,48.1,3934,47.8,81.79,27.9,7.77,5.87,0.53,0.84,103.6,25.5,3.592,140,73.78,223.41,76.97,1.7
Koi,56.3,1574,19.6,27.96,31.5,8.06,7.08,0.65,0.39,95.4,30.5,0.706,109,30.1,40.0,84.43,1.41
Pangasius,40.4,8560,48.3,211.88,25.3,7.26,7.18,0.05,0.55,150.3,30.2,7.897,188,97.27,663.5,79.69,1.67
Catla,92.5,7870,76.1,85.08,28.9,6.91,7.38,0.25,0.92,135.1,33.7,13.535,113,114.27,732.58,81.46,1.58
Pabda,98.5,3295,15.9,33.45,24.6,6.51,6.73,0.16,0.54,77.3,28.6,1.435,145,26.06,66.76,77.75,1.63
Magur,24.2,9514,15.0,393.14,29.1,8.4,3.55,0.97,0.93,94.7,28.2,2.926,169,22.87,130.55,60,1.78
Thai Koi,76.0,7179,20.8,94.46,24.8,6.94,7.0,0.84,0.32,141.8,25.5,2.449,152,39.13,241.51,85.98,1.44
Mrigal,48.3,6626,38.3,137.18,28.3,6.93,5.93,1.02,0.28,83.4,33.2,4.771,108,52.98,263.2,74.97,1.93
Shing,29.2,8915,14.8,305.31,29.1,7.82,4.0,0.29,0.72,176.7,28.9,2.111,232,31.12,215.78,77.77,1.72
Mrigal,17.5,6814,77.0,389.37,27.3,7.47,4.29,0.58,0.72,156.1,29.1,13.904,236,137.77,640.54,68.23,1.66
Thai Koi,85.3,338,74.9,3.96,31.8,7.71,6.73,0.09,0.36,94.3,30.4,0.608,239,174.3,53.89,91.48,1.63
Shing,6.6,5925,47.8,897.73,24.9,7.25,6.19,0.21,0.89,78.1,27.7,5.721,180,87.12,402.22,77.92,1.68
Pabda,98.4,8016,33.1,81.46,29.1,7.08,3.95,0.52,0.16,132.8,34.4,7.217,104,45.61,281.03,76.87,1.69
Common Carp,74.8,4849,52.8,64.83,24.1,7.64,5.92,0.72,0.76,137.4,26.0,4.173,142,87.32,331.08,78.19,1.81
Pangasius,67.9,4535,17.7,66.79,27.0,8.5,5.9,0.64,0.21,170.9,31.4,2.296,127,30.55,112.25,81.01,1.32
Catla,14.7,2355,32.4,160.2,28.5,8.5,5.89,0.64,0.4,86.3,29.5,2.007,123,47.77,79.23,70.43,1.9
Silver Carp,30.5,4225,40.0,138.52,28.8,7.67,5.16,0.63,0.16,89.7,29.0,4.124,199,74.15,259.0,82.67,1.67
Silver Carp,89.1,8111,48.8,91.03,29.1,8.37,5.67,0.29,0.07,171.4,30.3,10.37,193,88.1,623.92,87.31,1.58
Koi,43.1,3724,21.8,86.4,26.0,7.11,4.04,1.06,0.89,126.8,32.4,2.216,189,39.27,99.5,68.04,1.63
Pabda,32.9,7124,53.8,216.53,30.0,7.58,3.65,0.67,0.19,123.6,28.0,5.941,137,85.0,413.52,68.29,1.61
Pangasius,47.6,4169,66.0,87.58,27.3,6.65,6.83,0.4,0.6,84.2,32.3,5.833,161,125.33,425.95,81.52,1.49
Rohu,97.1,1382,26.9,14.23,31.7,7.79,5.44,1.14,0.16,96.9,27.2,0.747,156,41.39,42.74,74.72,1.69
